Attraction	Review Title	Review	Annotation
Lion King	Awesome Night	What a great show, from end to end this was a spectacular not to be missed the costumes were wonderful and we were entertained I this wonderful theater all night. I'm not a musical show type of guy but thoroughly enjoyed myself.	Fun
Lion King	Great Show	The Lion King was an excellent show, stuck to the movie story, very good acting, costumes great and animals seemingly bought to life, Music great. The whole experience was excellent worth seeing for adults and kids alike.	Fun
Lion King	Pure Fun - Great Entertainment	A brilliant show that was great entertainment from start to finish. The animal creations were stunning - totally in love with the giraffes and the cheetah - and the way that the actors worked with the puppetry while singing and dancing! The different ways in which scenes were created was very clever - loved the 'long grass'. It was a spectacle in the true sense and all of us from my teenage daughter to my elderly father thoroughly enjoyed the show!	Fun
Lion King	Brilliant	I highly recommend it for all especially families with kids. The whole production was top quality. The cast was highly skilled and played the different roles very nicely. The music and dancing was extremely entertaining. My kids have enjoyed it tremendously.	Social
Lion King	The Best Musical Production Yet!	I saw this show in July with a couple of friends. I did not want it to end. The costumes with their glorious vivid colours , combined with the stunning effects of puppet designs and animal masks were simply amazing. The whole experience was heightened with unforgettable music. It was set against The Serengi Plains, elephant puppets came down the aisles, visuals also appeared in the dress circle, as well the stage, so all your senses are involved! It was obvious that the movements of the animals had been studied as they were perfect, I particularly enjoyed the cheetah with her smooth creeping movements. The giraffes also were amazing.	Fun
Sydney Harbour	Tres Bien	Nice place if you have free time with friends, have a drink with nice view. Have a breakfast or a dinner after visit the opera house.	Hungry
Sydney Harbour	Sydney Harbour billiance	How is Sydney the best most beautiful brash city in the world. because of its harbour. Always a gem always beautiful, always accessible and watchable.	Natural
Sydney Harbour	If you in Sydney you simply must visit the Harbour	It's Sydney's pearl. Whether you walk around it on one of the excellent walks, take a ferry or book a spot on a yacht, or have a meal in a harbourside restaurant, you must experience it.For the walks, there's several on the north, from Cremorne through Mosman to the Zoo, then on to Balmoral, or on the south side Nielssen Park to Watsons Bay (start with a cup of tea at the Kiosk at Nielssen Parl and end with a beer and fish and chips at Watsons Bay pub) but my pick is the Spit to Manly walk. Take a bus to the Spit, then set off on the bash-walk - diving doen in to deep bush, under waterfalls, out on to headlands with magnificnat ocean views, then back in to bush, and so on. The last descent in to Manly has one of the best views in Sydney. When you get to Manly take a ferry back to the city and see Sydney Harbour by water. Allow about 3 hours for the walk to take it slow and enjoy the view.Or take the ferry first to Manly, walk the other way, and have lunch at the beautiful Plonk! Restaurant at Spit. Plonk! is by the water, on the sand, and you can watch the fishermen, sailors, divers, kayaksrs and holidays makers go by. A beautiful afternoon - and exercise as well!	Adventurous
Sydney Harbour	Its the best Harbour in the world!	If you visit Sydney you must take a cruise on the harbour and or take a ferry trip to Manly. its one of the worlds best harbours, the water is great, you can swim in it, there is little or no pollution, lots of little coves and sandy beaches.	Natural
Sydney Harbour Bridge	take a walk across the bridge, or over the top for the fit	When in Sydney you must take a walk across the Sydney Harbour bridge , or over the top for the fit. The view is fantastic	Adventurous
Sydney Harbour Bridge	For God's sake don't drive across	Although thousands of cars and trains cross this historic coathanger bridge every day of the year, by far the best way to cross the Harbour Bridge is on foot or on a bike started circular quay cross to the northside, take a swim in the historic North Sydney pool would take the kids to the rides at Luna Park. Catch the ferry on the way home, or drop in Darling Harbour to some additional playtime and some great restaurants on the foreshore.	Adventurous
Sydney Harbour Bridge	Breath taking	If you want to view Sydney the do the Harbour Bridge climb. It looks much steeper then it really is. It is an easy climb for all ages. The guides were excellent and very informative. Highly recommend.	Adventurous
Sydney Harbour Bridge	Loved this	I took my 13 year old daughter to climb the bridge with her friend!!! We had the best time. The view is truly unforgettable. They prepare you really well. It isn't a hard climb at all. It is a gradual climb so as long as your not afraid of heights you will be fine. Standing in the middle of the bridge was amazing and climbing through it is really fascinating.	Adventurous
Sydney Harbour Bridge	What a view	To walk over this bridge is something really special, it's a once in a life time experience and the views from the top take your breath away and they will live with you forever, it's defiantly a must	Adventurous
Manly Sea Life Sanctuary - Shark Dive Xtreme	a great experience	Very profesional and relaxed experience. My 14 year old daughter did the dive with the sharks and hundreds of other fish and turtles and could not stop talking about it. Instructors were fun and informative. They walk around the bottom of the pool with all the creatures swimming by. You get to see them through the clear wall and roof. Manly a fun place also. We caught the ferry over and had lunch at one of the great Pubs in the corso.	Adventurous
Manly Sea Life Sanctuary - Shark Dive Xtreme	a great experience	Being a first time dive this was a challenging and thrilling experience. The equipment is top rate and the instructors know their stuff and clearly care for the animals under their care. My only criticism would be that quite a bit of time during the dive is spent taking photos and video of the dive which is fine if your interested in paying additional fees for this which I wasn't. Overall though highly recommended.	Adventurous
Manly Sea Life Sanctuary - Shark Dive Xtreme	Very glad we visited	Manly Sea life sanctuary is a lot smaller than Sydney Sealife, however I really enjoyed that about this aquarium. To start of it is located on the beach which was really beautiful, plus It is only a few minute walk from where you get off of the ferry. The tanks and set up of this place is beyond what I expected, they all clean and well presented. I thoroughly enjoyed visiting here and I liked the fact that it wasn't so busy that you could spend the time getting a good look at the aquariums and also talking to the friendly staff.	Fun
Manly Sea Life Sanctuary - Shark Dive Xtreme	Great, not just for thrill seakers	I went with my husband, and was one of the best experiences we have done. The sharks are not dangerous, great instructors that make you feel safe and you go in a small group. Highly recommended.	Adventurous
Manly Sea Life Sanctuary - Shark Dive Xtreme	The most wow experience ever!	Diving with sharks was an experience that i will treasure for all my life! To be able to be next to this creature...wow!! Also you get the opportunity to see huge turtles (one bumped on my head!), rays and other fishes. The instructor was very friendly and gave me good instructions about the diving. It was my first time using the diving equipment and it was not hard.	Adventurous
Royal Botanic Gardens	i'm not an outdoors guy, but this place is amazing	As the title suggests, I don't really go on outdoors-type activities but when I was in Sydney with my wife for our honeymoon we went here and it wound up being an incredible afternoon. I could go on and on about how pretty the vast varieties of trees and flowers were. I could also talk a lot about all of the different types of birds to see, and even how relaxing it is to sit by the lake or look at the spectacular views of Sydney while overlooking the harbor. But really, you just need to see it for yourself. We planned on only staying for about an hour, but after walking around a small potion of the park before we knew it we were there for more than 2 hours. My wife and I had to keep reminding ourselves that we were there "during the ugly time" because it was the end of winter when we visited, but it was still sooooo beautiful. Certainly a must see place if you spend any time in Sydney.	Natural
Royal Botanic Gardens	Aaa ah! Serenity	Beautiful gardens, looks of places to sit and watch the world go by! The view of the Harbor and the water simply beautiful! Worth a visit	Lazy
Royal Botanic Gardens	Do the guided walking tour	The Botanic Gardens are a real haven between the city and the harbour, a great place to relax or to learn more about local trees. Volunteers provide free guided walks twice every day, starting from the visitor centre / shop.	Lazy
Royal Botanic Gardens	Must See!	Excellent gardens with lots to see, both planted areas and open grassy spaces to relax, and the bonus of wonderful views of the harbour. Lots of birds - cockatoos, lorikeets, ibis etc. Make sure you stop at the cafe which is really nice too.	Natural
Royal Botanic Gardens	Here's where Australia's history began!	The Botanic Gardens are not just like any other garden in Australia. Here's where there is the history of thecrop fiels of the first prisoners. You also have the best view of the Opera House and the Harbour Bridge from Macquarie's Point. Beware of the joggers however	Historical
Sydney Opera House	A true landmark	Although we did not have time to see a show here, we toured the Opera House and took lots of pictures. The evening pictures are extraordinary. This venue does not disappoint! I would recommend having dinner in the outdoor cafe at the base of the Opera House. It was great. You can see both the "Coathanger" and the Opera House.	Hungry
Sydney Opera House	Classy	Amazing architecture is worth a look from close by. If you are not there to watch the opera, the interior will disappoint you to an extent. The souvenir shop is very highly priced	Cultural
Sydney Opera House	Spectacular Architecture	If you think it's good from the outside the architecture is even better on the inside. But perhaps the best way of appreciating the Opera House is to go to some evening event there - then it really comes into its own	Cultural
Sydney Opera House	A taste of the opera	We booked a sampler opera concert, it was perfect. We had fizz to start with and then enjoyed the opera. Highly recommend it!	Cultural
Sydney Opera House	True Australian Icon	Please be sure to do a tour inside the Opera House and gain a wealth of knowledge.Tours conducted by trained staff	Education
Manly Scenic Walkway	Do something unusual why you're in Sydney	it is a great idea to spend a day on the clifftops and coastlines extending along Sydney's northern beaches. Catch a ferry from circular quay to Manly, then walk the coastal walk along the clifftops from Manly to the spit Bridge. This distance is approximately 7 to 8 km it is an easy walk with a clearly marked path. There are several small cafes and villages along the way we can grab a snack or a quick coffee.although he can walk the remainder of the distance back to circular quay, probably better option is to take the bus. This total day will take you approximately 6 to 7 hours including a delicious lunch in either Manly or at the Spit Bridge.	Natural
Manly Scenic Walkway	Lovely walk	Its a great walk, scenic and interesting. We were recommended the walk by a local and decided to do it, was glad we did. Just beware of the runners and joggers ;)	Adventurous
Manly Scenic Walkway	Great way to see the view around Sydney	Take your time and weather permitting stop and have a swim along the way many places it's up to you and lunch at the spit will be a fantastic way to finish off the walk and catch the bus back to the start	Lazy
Manly Scenic Walkway	Great walk	Wonderful views, walkway is clearly defined, great to stretch the legs with family and friends. We love this walk!	Adventurous
Manly Scenic Walkway	Great walk	You walk through a couple of different terrains, and you can join, or exit the walkway at any point depending on your fitness or physical abilities. It's not a strenious walk, but quite a lot of stair climbing in the beginning and end. The views are spectacular and a really nice outdoor activity for outdoor enthusiasts.	Natural
Watson's Bay	Catch the ferry see the heads	Fun way to go , catch the ferry and go to watsons bay , have a walk around down lady bay , check out the heads , have fish and chips at Doyle's then catch the ferry back to circular quay ,views are magnificent	Lazy
Watson's Bay	Doyles Restaurant Watson's Bay	Watson's Bay is a great palce to visit in your Sydney Journey. When you get off the ferry walk up the hill and you get a fabulous view of the sea pounding on the southern section of the South Sydney Harbour heads. The views are wonderful and occasionally you may see some dolphins and whales during the migration season. After you go back down the hill get your lunch from Doyles ( recommend the John Dory anything ! ) and then go for a walk around the bay and have a look at the beautiful old houses that are on the foreshore.	Natural
Watson's Bay	Beautiful coastal walk	Watsons Bay is more than just the restaurants and pub at the ferry wharf, and the stunning view from the Gap. Take the time to walk down to Camp Cove, a beautiful little harbour beach. Walk around the Heritage Track around South Head, past Lady Bay (nude) beach for a fabulous view out to sea, across to North and Middle Heads and look back to iconic views of the city. There is a lovely little red and white striped light house and historic light house keeper's cottage on the way.You can walk along the cliffs to Bondi (takes about an hour from here), or walk back towards the city through the streets of Vaucluse via gorgeous Parsley Bay. Try to avoid Sundays (lots of people around the wharf and the Gap) and sunny winter days are even better!	Natural
Watson's Bay	Lovely place to visit, have a meal and a walk	This place is a gem. When you get off the ferry walk up the hill and you get a fabulous view of the sea pounding on the southern section of the South Sydney Harbour heads. The views are wonderful and occasionally you may see some dolphins. After you go back down the hill get your lunch from Doyles and then go for a walk around the bay and have a look at the beautiful old houses that are on the foreshore.	Cultural
Watson's Bay	fishing village	watson bay is sydneys old fishing village. a popular destination if you love eating seafoods. restaurants and others is just around. many choices of foods available. and you can dine and relax and drinks. the place is wonderful.	Hungry
Art Gallery of NSW	Great space	combining both the modern and the old, this gallery is a most relaxing space to wander through. We actually had a guide show us through the modern art sections and she was so knowledgeable and interesting. Recommend highly. We wandered through the whole gallery ourselves after the tour and explored seeing some brilliant artwork. There are also some lovely views out over the harbour from the generous seating areas also. Dont miss it.	Cultural
Art Gallery of NSW	Lovely Aboriginal Art	We visited the art gallery with my family(2kids) and we really enjoyed our visit. The kids usually get bored looking at art, but they loved the Aboriginal art section. The gallery is much bigger than it looks and there's lots to look at. The cafe at the gallery is a bit expensive, and not very special, so it's better to get lunch somewhere else, other than that everything is great. We went on Thursday, but found out that it's open late on wednesdays. So if you want to go there in the evening make sure you go on Wednesday, it closes at 10pm.	Cultural
Art Gallery of NSW	Great way to spend an afternoon	Free and full of culture. Worth the visit and it is located in beautiful gardens. They also have a yummy coffee shop.	Cultural
Art Gallery of NSW	Interesting collection	Really enjoyed the works by Australian artists. Good mix of different types of art in collection. Entry is free which is fantastic for a museum of this quality.	Cultural
Art Gallery of NSW	Archibald Exhibition	We make a special trip to the Archibald Exhibit every year and were not disappointed by this year at all. The Gallery is always relaxed, lunch was good and reasonably priced, and the exhibits are always well lit with interesting narratives. The Art Gallery staff are very pleasant and helpful. This is a "must" stop for us on every visit.	Cultural
Manly Beach	Awesome beach	I love catching the ferry to this beach. Great view of the water, lots of shops and brilliant for swimming	Natural
Manly Beach	Great boat trip	We took the ferry to Manley. Lots of opportunities for great photos. Manley itself was nice to walk around. We had delicious fish and chips for lunch. Recommend a visit if you are in Sydney.	Lazy
Manly Beach	MAN OH MAN	I love Manly wharf and beach. An icecream and walk along peir and beach is an unsurpassable Auzzie experience and then a stroll along the mall and the ferry back to circular quay. Way to go!	Cultural
Manly Beach	Don't visit Sydney without seeing Manly	Manly is the jewel in the crown that is Sydney. Never fails to please no matter what the weather. So many great little restaurants and coffee shops and the standard is very high. Great spot for an ice cream or fish and chips on the promenade. If you like a walk, there are some great sight to be seen walking around Manly and surrounds. Catch the ferry either from or to Circular Quay and you will be delighted by the views. Manly is an eternal favourite for locals and visitors alike. Spend the day and you wont be disappointed. Spend a week and you will fall in love with the place.	Hungry
Manly Beach	Beautiful place	One of my favorite places! It's a beautiful beach with many things going on. You can go sightseeing, take a walk on the Corso, eat fish and chips, drink a booze at Steyne or New Brighton Hotel... Everything at the same beach! Friendly atmosphere. Easy to get there and to fall in love! ❤️	Natural
Chinese Garden of Friendship	Peaceful and charming	I love this place! You feel like you are in China as soon as you step inside. Great value for money. There is also a brilliant tea room overlooking the water, I highly recommend	Cultural
Chinese Garden of Friendship	very quiet place	A good place to reflect and have some meditation. It is very quiet place at the same time lots of nice plants and flower.	Lazy
Chinese Garden of Friendship	BLISSFUL SERENITY	This place is an absolute joy - tranquil oasis in the heart of the bustling City. Well designed and well looked after, it offers you peaceful and relaxing time, whether you choose to stroll, or just sit in one of beautiful gazebos, or have a tea in traditional tea house. ENJOY!	Lazy
Chinese Garden of Friendship	chinese garden of friendship	It is a very peaceful place where you can take a quiet walk and have a relaxing time. I definitely recommend a visit to everyone	Lazy
Chinese Garden of Friendship	very beautiful	The garden is a great place to get away from the hustle and bustle of Sydney. It is a very peaceful place where you can take a quiet walk and have a relaxing time. I definitely recommend a visit to everyone	Lazy
The Rocks	Well worth a trip to the oldest part of Australia	Its well worth a trip to the Rocks area of Sydney. This is where Australia all began and there are lots of cool buildings ,pubs ,cafes and restaurants. You can also walk around the foreshore of the Sydney harbour and under the Sydney Harbour Bridge. There are Sunday markets with lots of cool things to buy.	Hungry
The Rocks	Historic	Plenty to do and see at The Rocks in Sydney. Easily accessible and in a perfect position to enjoy Sydney Harbour foreshores. An older part of original Sydney Town where convicts hid in the rocks that were home to poor settlers...it's an easy walk up to the Garrison Church, Observatory Hill and The Harbour Bridge. Not to be missed. Favourite waiting place is Waterfront Restaurant...(look for scoupons for a good food deal)	Historical
The Rocks	Fun and interesting!	Great place to spend some time roaming around and looking at the historical sites. Lots of cool boutique stores, and cafés. Though most things are more on the expensive side.	Historical
The Rocks	Early Australia	Walk through the development of early Australia, and see how they lived. Sandstone buildings and the hard toil of the people of Sydney.	Historical
The Rocks	Great part of Sydney	When in Sydney a visit to the Rocks is a must!! Especially at the weekend when the market is on and has loads of beautiful crafts!! Great view of the Bridge and great bars to visit!! Especially the Merc on a Sunday	Social
Darling Harbour	Peaceful, beautiful...	Think of a peaceful and beatiful place... this place is Darling Harbour. With plenty of restaurants and cafes, it's perfect for a delightful afternoon with friends/family. There are lots of buskers (very good ones, because to play in this place you need an approval from the government).	Lazy
Darling Harbour	lots of cool Restaurants, cafes etc,	When visiting Sydney its worth a trip to Darling Harbour there are lots of cool restaurants , cafes etc.. also the convention center, Imax theater, live entertainers & maritime museum to visit .	Hungry
Darling Harbour	Great at night, maybe not in the day	Darling Harbour is great for tourists as well as Sydney Residents. There are lovely restaurants on the water and some cool bars and clubs. Other attractions include the Harbourside shopping centre and the Aquarium.It's worth a visit however I would only reccommend you go for a meal as the restaurants here really are great, and there are fireworks every Saturday at 9pm.	Social
Darling Harbour	Must-visit	Darling Harbour is attractive during day and romantic and fun during evening time. There are many attractions like aquarium, zoo, and IMAX with the world's biggest screen which I was very impressed by. On the left hand side (close to George St.) you will see alot of bars, pubs and cafes also!	Fun
Darling Harbour	Something for everyone	Good range of restaurants and Bars and continually refreshed. A Sydney city playground. The district is about to undergo an upgrade of access and exhibition facilities.	Hungry
Sydney Lyric Theatre	Strictly Ballroom - What a great musical!	Saw the show a few days ago. Went without any expectations as I have not heard of this musical before but it was simply fantastic! Good music, great dancing and lavish costumes. Thoroughly enjoyed myself. I strongly recommend this show and would go again if there is a chance to do so I had tickets on Row H, towards the side and had close up views of the whole stage. Theatre is small but seats are spacious. There is a food court right next to theatre with choice of different types of food - not cheap but was tasty.	Cultural
Sydney Lyric Theatre	Enjoyable for mid size productions	Went to see strictly ballroom..lot of fun. Good parking. Lots of food options..some very expensive..so choose carefully.	Fun
Sydney Lyric Theatre	Brilliant feel good funny show	Having received free tickets to go and never hearing about the movie I wasn't quite sure what to expect. However the show was brilliant. Lots of bright colours, funny jokes great singing and stage changes. I definitely would have paid for this show. Left in a great mood and feeling happy.	Fun
